datetime,open,high,low,close
2021-09-27,1.1724,1.1728,1.16845,1.1694
2021-09-24,1.1738,1.17485,1.17,1.1714
2021-09-23,1.1686,1.17505,1.1683,1.1736
2021-09-22,1.1726,1.17565,1.16835,1.1686
2021-09-21,1.1726,1.17505,1.17145,1.1723
2021-09-20,1.1732,1.1737,1.16995,1.1725
2021-09-17,1.1762,1.17895,1.17235,1.1725
2021-09-16,1.1816,1.18215,1.17505,1.1764
2021-09-15,1.1806,1.18335,1.17985,1.1815
2021-09-14,1.1812,1.18465,1.17995,1.1802
2021-09-13,1.18135,1.1818,1.17695,1.1808
2021-09-10,1.1826,1.18515,1.18085,1.1814
2021-09-09,1.1817,1.18425,1.18045,1.1825
2021-09-08,1.184,1.1852,1.18015,1.1813
2021-09-07,1.187,1.18855,1.1837,1.1839
2021-09-06,1.1879,1.18875,1.1855,1.1868
2021-09-03,1.18745,1.19095,1.18655,1.1882
2021-09-02,1.1839,1.1877,1.1834,1.1873
2021-09-01,1.181,1.18575,1.1793,1.1837
2021-08-31,1.1797,1.1848,1.17945,1.1807
2021-08-30,1.1793,1.18105,1.17825,1.1795
2021-08-27,1.1752,1.1803,1.17345,1.1793
2021-08-26,1.17715,1.17805,1.17455,1.175
2021-08-25,1.1754,1.17755,1.17255,1.177
2021-08-24,1.1746,1.17655,1.17265,1.1753
2021-08-23,1.1694,1.1751,1.16915,1.1743
2021-08-20,1.1675,1.17055,1.16635,1.1696
2021-08-19,1.1711,1.1717,1.16655,1.1674
2021-08-18,1.171,1.1743,1.16935,1.171
2021-08-17,1.1776,1.17855,1.17075,1.1708
2021-08-16,1.1794,1.18015,1.1767,1.1777
2021-08-13,1.173,1.18055,1.17275,1.1791
2021-08-12,1.1738,1.1749,1.17235,1.1727
2021-08-11,1.172,1.17535,1.17055,1.1737
2021-08-10,1.1738,1.17435,1.17095,1.1718
2021-08-09,1.1762,1.17695,1.17345,1.1737
2021-08-06,1.1834,1.18365,1.17535,1.176
2021-08-05,1.1837,1.1858,1.18275,1.1832
2021-08-04,1.1864,1.19005,1.18325,1.1835
2021-08-03,1.1868,1.1894,1.1853,1.186
2021-08-02,1.1864,1.18975,1.1858,1.1867
2021-07-30,1.1888,1.191,1.1851,1.187
2021-07-29,1.1845,1.18935,1.18405,1.1886
2021-07-28,1.1817,1.18505,1.1773,1.1842
2021-07-27,1.1804,1.18415,1.17695,1.1814
2021-07-26,1.1778,1.1818,1.1763,1.1799
2021-07-23,1.1769,1.1788,1.17535,1.1771
2021-07-22,1.1793,1.1831,1.1757,1.177
2021-07-21,1.1782,1.18055,1.17515,1.1792
2021-07-20,1.1801,1.1805,1.17555,1.1779
2021-07-19,1.1808,1.1825,1.17635,1.1798
2021-07-16,1.1814,1.1823,1.17915,1.1805
2021-07-15,1.1837,1.18515,1.17955,1.1812
2021-07-14,1.1776,1.18395,1.17715,1.1835
2021-07-13,1.1862,1.1876,1.17715,1.1774
2021-07-12,1.1872,1.18805,1.18355,1.1859
2021-07-09,1.1844,1.1882,1.18245,1.1873
2021-07-08,1.1792,1.18685,1.1783,1.1842
2021-07-07,1.1823,1.1839,1.17815,1.1789
2021-07-06,1.1863,1.18955,1.18065,1.1822
2021-07-05,1.1862,1.18815,1.1851,1.1861
2021-07-02,1.18495,1.1875,1.18065,1.1864
2021-07-01,1.1859,1.1885,1.1837,1.1848
2021-06-30,1.1897,1.191,1.18445,1.1855
2021-06-29,1.1926,1.19325,1.18775,1.1895
2021-06-28,1.1935,1.19455,1.1902,1.1924
2021-06-25,1.19315,1.1976,1.19255,1.1933
2021-06-24,1.1927,1.1957,1.19175,1.193
2021-06-23,1.1939,1.19705,1.1911,1.1925
2021-06-22,1.1918,1.19535,1.18805,1.1938
2021-06-21,1.1868,1.1922,1.1847,1.1915
2021-06-18,1.1908,1.19265,1.18465,1.186
2021-06-17,1.1996,1.2007,1.18915,1.1906
2021-06-16,1.2127,1.21355,1.19935,1.1994
2021-06-15,1.212,1.2149,1.21005,1.2124
2021-06-14,1.211,1.2131,1.20935,1.2118
2021-06-11,1.217,1.2196,1.20925,1.2106
2021-06-10,1.21805,1.2195,1.21425,1.2169
2021-06-09,1.2173,1.2219,1.21705,1.2178
2021-06-08,1.21895,1.21955,1.21635,1.2171
2021-06-07,1.2168,1.22025,1.21445,1.2189
2021-06-04,1.2129,1.21865,1.21035,1.2165
2021-06-03,1.221,1.22165,1.21175,1.2124
2021-06-02,1.2214,1.22275,1.21635,1.2209
2021-06-01,1.2227,1.2255,1.2211,1.2211
2021-05-31,1.2192,1.22325,1.2183,1.2225
2021-05-28,1.2195,1.22055,1.2132,1.2189
2021-05-27,1.2192,1.2216,1.21745,1.2192
2021-05-26,1.22515,1.22635,1.21815,1.219
2021-05-25,1.2217,1.2267,1.2211,1.225
2021-05-24,1.2178,1.22305,1.2172,1.2215
2021-05-21,1.22285,1.22405,1.21605,1.2179
2021-05-20,1.2171,1.223,1.21685,1.2226
2021-05-19,1.2222,1.22455,1.21595,1.2172
